gateway,timestamp,mac_addr,rssi,event_code
3,2020-02-22 04:42:02.261781,3C:71:BF:44:F5:46,-55,0
3,2020-02-22 04:42:22.060742,3C:71:BF:44:F5:46,-65,0
3,2020-02-22 04:42:42.100982,3C:71:BF:44:F5:46,-55,0
3,2020-02-22 04:43:01.899186,3C:71:BF:44:F5:46,-64,0
3,2020-02-22 04:43:21.701128,3C:71:BF:44:F5:46,-56,0
3,2020-02-22 04:43:41.560984,3C:71:BF:44:F5:46,-56,0
3,2020-02-22 04:44:01.299001,3C:71:BF:44:F5:46,-59,0
3,2020-02-22 04:44:21.398589,3C:71:BF:44:F5:46,-55,0
3,2020-02-22 04:44:41.197662,3C:71:BF:44:F5:46,-52,0
3,2020-02-22 04:45:01.237332,3C:71:BF:44:F5:46,-61,0
3,2020-02-22 04:45:20.978616,3C:71:BF:44:F5:46,-63,0
3,2020-02-22 04:45:40.838829,3C:71:BF:44:F5:46,-66,0
